symbol,price
ETHDAI,1645.1
BNBDAI,213
USDTDAI,0.9999
BUSDDAI,0.9998
JSTBNB,0.0002185
JSTBTC,0.00000083
JSTBUSD,0.02103
JSTUSDT,0.02323
SRMBNB,0.00084
SRMBTC,0.00001523
SRMBUSD,0.0353
SRMUSDT,0.24442
ANTBNB,0.02297
ANTBTC,0.00017683
ANTBUSD,4.303
ANTUSDT,4.901
CRVBNB,0.00687
CRVBTC,0.00001739
CRVBUSD,0.4814
CRVUSDT,0.4817
SANDBNB,0.001395
SANDBTC,0.00001072
SANDUSDT,0.2971
SANDBUSD,0.2971
OCEANBNB,0.001428
OCEANBTC,0.00001099
OCEANBUSD,0.3046
OCEANUSDT,0.3047
NMRBTC,0.00046
NMRBUSD,11.43
NMRUSDT,12.74
DOTBNB,0.01901
DOTBTC,0.0001462
DOTBUSD,4.05
DOTUSDT,4.05
LUNABNB,0.00000019
LUNABTC,0.00000001
LUNABUSD,0.4406
LUNAUSDT,0.4404
IDEXBTC,0.00000166
IDEXBUSD,0.04617
RSRBNB,0.0000084
RSRBTC,0.00000016
RSRBUSD,0.00184
RSRUSDT,0.001796
PAXGBNB,8.622
PAXGBTC,0.06627
PAXGBUSD,1837
PAXGUSDT,1835
WNXMBNB,0.1735
WNXMBTC,0.000672
WNXMBUSD,22.165
WNXMUSDT,30.65
TRBBNB,0.517
TRBBTC,0.0016463
TRBBUSD,45.7
TRBUSDT,45.69
ETHNGN,805670
DOTBIDR,72297
LINKAUD,7.986
SXPAUD,1.868
BZRXBNB,0.00514
BZRXBTC,0.00000463
BZRXBUSD,0.2164
BZRXUSDT,0.2156
WBTCBTC,0.9999
WBTCETH,16.83
SUSHIBNB,0.002697
SUSHIBTC,0.00002069
SUSHIBUSD,0.575
SUSHIUSDT,0.575
YFIIBNB,4.42
YFIIBTC,0.07249
YFIIBUSD,1192
YFIIUSDT,435.5
KSMBNB,0.0908
KSMBTC,0.000668
KSMBUSD,18.87
KSMUSDT,18.51
EGLDBNB,0.1151
EGLDBTC,0.000888
EGLDBUSD,24.64
EGLDUSDT,24.63
DIABNB,0.003813
DIABTC,0.00000888
DIABUSD,0.2467
DIAUSDT,0.247
RUNEUSDT,2.006
FIOUSDT,0.02053
UMABTC,0.000049
UMAUSDT,1.363
EOSUPUSDT,0.2113
EOSDOWNUSDT,0.0003665
TRXUPUSDT,0.03854
TRXDOWNUSDT,1.139
XRPUPUSDT,0.0855
XRPDOWNUSDT,0.00008172
DOTUPUSDT,0.096
DOTDOWNUSDT,16.737
SRMBIDR,26748
ONEBIDR,119.92
LINKTRY,213.2
USDTNGN,1000.6
BELBNB,0.002813
BELBTC,0.00002165
BELBUSD,0.6003
BELUSDT,0.6002
WINGBNB,0.04865
WINGBTC,0.0002037
SWRVBNB,0.001504
SWRVBUSD,0.5649
WINGBUSD,5.65
WINGUSDT,5.65
LTCUPUSDT,0.4801
LTCDOWNUSDT,2.2279
LENDBKRW,579.46
SXPEUR,0.2654
CREAMBNB,0.0723
CREAMBUSD,19.86
UNIBNB,0.02024
UNIBTC,0.0001554
UNIBUSD,4.307
UNIUSDT,4.307
NBSBTC,0.00000031
NBSUSDT,0.00166
OXTBTC,0.00000231
OXTUSDT,0.0641
SUNBTC,0.000711
SUNUSDT,0.00559
AVAXBNB,0.04699
AVAXBTC,0.000362
AVAXBUSD,10.02
AVAXUSDT,10.03
HNTBTC,0.0002357
HNTUSDT,4.67
BAKEBNB,0.0006186
BURGERBNB,0.001536
SXPBIDR,19956
LINKBKRW,16948.99
FLMBNB,0.00333
FLMBTC,0.00000273
FLMBUSD,0.2321
FLMUSDT,0.0758
SCRTBTC,0.00000915
SCRTETH,0.000154
CAKEBNB,0.00558
CAKEBUSD,1.189
SPARTABNB,0.0000657
UNIUPUSDT,1.055
UNIDOWNUSDT,2.172
ORNBTC,0.00001818
ORNUSDT,0.5049
TRXNGN,20.71
SXPTRY,7.66
UTKBTC,0.00000197
UTKUSDT,0.0548
XVSBNB,0.02406
XVSBTC,0.0001851
XVSBUSD,5.13
XVSUSDT,5.14
ALPHABNB,0.000299
ALPHABTC,0.00000273
ALPHABUSD,0.0771
ALPHAUSDT,0.0754
VIDTBTC,0.00000066
VIDTBUSD,0.01821
AAVEBNB,0.337
BTCBRL,143311
USDTBRL,5.176
AAVEBTC,0.00259
AAVEETH,0.04362
AAVEBUSD,71.8
AAVEUSDT,71.71
AAVEBKRW,164167
NEARBNB,0.005163
NEARBTC,0.00003972
NEARBUSD,1.101
NEARUSDT,1.101
SXPUPUSDT,0.17426
SXPDOWNUSDT,0.0895
DOTBKRW,13514.98
SXPGBP,0.408
FILBNB,0.01552
FILBTC,0.0001195
FILBUSD,3.314
FILUSDT,3.314
FILUPUSDT,0.1515
FILDOWNUSDT,0.0007666
YFIUPUSDT,0.1169
